隐患序号,隐患描述,隐患等级,规范类别,规范名称,条款编号,条款内容摘要
1,配电箱无门或门损坏,重大隐患,A类-集团标准,集团临时用电安全规范,第5.2条,配电箱应配置防盗门，门锁完好，配电箱门应关闭严密
2,电气线路绝缘破损未更换,重大隐患,A类-集团标准,集团电气安全管理规定,第8.1条,老化、破损的电气线路应及时更换，严禁带病运行
3,接地装置未定期检测,重大隐患,A类-集团标准,集团电气接地技术规范,第12.3条,接地装置应每季度检测一次，检测不合格应立即整改
4,漏电保护装置失效,重大隐患,A类-集团标准,集团用电安全强制性规定,-,漏电保护器应每月测试一次，确保动作可靠
5,临时用电未执行TN-S系统,严重隐患,B类-国家标准,GB 50194-2014,第5.2条,施工现场临时用电工程应采用TN-S系统，保护零线应由工作接地线处引出
6,配电箱安装不符合规范,严重隐患,B类-国家标准,JGJ 46-2005,第8.1条,配电箱应安装在干燥、通风及常温场所，不得安装在有严重损伤作用的烟气、蒸汽等场所
7,电气线路未采用电缆,严重隐患,B类-国家标准,GB 50194-2014,第6.2条,配电线路应采用绝缘导线或电缆，导线截面应满足计算负荷要求
8,未设置剩余电流动作保护器,严重隐患,B类-国家标准,GB 13955-2005,第4.5条,额定剩余动作电流30mA的剩余电流动作保护器，用于直接接触防护
9,配电箱内电器安装不规范,严重隐患,C类-行业标准,JGJ 59-2011,安全检查标准,配电箱内电器应安装牢固、端正，电器间应保持足够的安全距离
10,电气设备未做接零保护,严重隐患,C类-行业标准,JGJ 46-2005,第5.1条,用电机壳的外壳应与专用保护零线连接，不得一部分设备做保护接零，另一部分设备做保护接地
11,电缆线接头制作不规范,严重隐患,C类-行业标准,施工用电安全技术规范,-,电缆接头应采用防水型接头，接头处应做绝缘包扎
12,未建立电气安全管理制度,严重隐患,C类-行业标准,建筑施工安全检查标准,-,施工现场应建立电气安全管理制度，明确电气安全管理责任人
13,施工用电未办理审批手续,严重隐患,D类-地方标准,四川省建设工程安全管理规定,-,临时用电工程应编制安全技术措施，经审批后方可实施
14,电工未持特种作业证上岗,严重隐患,D类-地方标准,四川省建筑施工特种作业人员管理规定,-,电气作业人员必须持有有效期内的特种作业操作资格证
15,配电设施未设置警示标志,严重隐患,D类-地方标准,成都市建筑施工安全标准化规范,-,配电箱周围应设置明显的安全警示标志，配备绝缘防护用品
16,未定期进行电气安全检测,严重隐患,D类-地方标准,成都市建设工程安全管理条例,-,施工现场电气设施应每季度进行安全检测，并留存检测记录
17,配电箱无日常检查记录,严重隐患,E类-其他标准,企业安全生产管理要求,-,配电箱应每日进行巡查，建立检查记录台账
18,周边易燃物未清理,严重隐患,E类-其他标准,消防安全规定,-,配电箱周围2米范围内不得堆放易燃、易爆物品
19,应急预案未包含电气事故,严重隐患,E类-其他标准,应急预案编制导则,-,应急预案应包含电气火灾、触电事故的应急处置措施
20,未配备合格消防器材,严重隐患,E类-其他标准,建筑消防技术规范,-,配电箱区域应配备与电气火灾相适应的灭火器材
21,配电箱防水密封失效,严重隐患,E类-其他标准,成都院隐患图册,配电设施类,配电箱门框密封胶条老化脱落，雨水湿气可进入箱体内部
